Date,Open,High,Low,Close
05/17/2024,"39,911.72","40,010.88","39,858.86","40,003.59"
05/16/2024,"39,912.34","40,051.05","39,864.68","39,869.38"
05/15/2024,"39,615.10","39,935.04","39,615.10","39,908.00"
05/14/2024,"39,466.76","39,616.41","39,371.92","39,558.11"
05/13/2024,"39,591.28","39,647.39","39,403.05","39,431.51"
05/10/2024,"39,466.52","39,579.88","39,406.26","39,512.84"
05/09/2024,"39,064.27","39,413.66","38,988.85","39,387.76"
05/08/2024,"38,818.90","39,094.74","38,814.99","39,056.39"
05/07/2024,"38,858.94","38,977.61","38,840.40","38,884.26"
05/06/2024,"38,762.43","38,886.47","38,689.38","38,852.27"
05/03/2024,"38,709.36","38,808.52","38,518.28","38,675.68"
05/02/2024,"38,075.65","38,295.29","37,895.66","38,225.66"
05/01/2024,"37,845.56","38,349.20","37,780.54","37,903.29"
04/30/2024,"38,337.40","38,337.40","37,810.12","37,815.92"
04/29/2024,"38,282.16","38,406.20","38,215.47","38,386.09"
04/26/2024,"38,114.70","38,337.64","38,065.05","38,239.66"
04/25/2024,"38,052.09","38,157.22","37,754.38","38,085.80"
04/24/2024,"38,552.79","38,552.79","38,310.55","38,460.92"
04/23/2024,"38,356.07","38,561.50","38,297.72","38,503.69"
04/22/2024,"38,116.89","38,447.16","37,985.07","38,239.98"
04/19/2024,"37,801.98","38,102.57","37,781.61","37,986.40"
04/18/2024,"37,847.21","38,083.76","37,681.52","37,775.38"
04/17/2024,"37,949.67","38,036.70","37,611.56","37,753.31"
04/16/2024,"37,992.22","37,992.22","37,713.70","37,798.97"
04/15/2024,"38,075.38","38,386.81","37,657.79","37,735.11"
04/12/2024,"38,319.14","38,319.14","37,877.30","37,983.24"
04/11/2024,"38,523.26","38,598.98","38,197.28","38,459.08"
04/10/2024,"38,662.28","38,662.28","38,304.66","38,461.51"
04/09/2024,"38,983.66","38,992.89","38,572.09","38,883.67"
04/08/2024,"38,916.42","39,013.20","38,857.70","38,892.80"
04/05/2024,"38,664.98","39,040.17","38,602.18","38,904.04"
04/04/2024,"39,343.60","39,421.35","38,559.42","38,596.98"
04/03/2024,"39,139.59","39,305.76","39,017.13","39,127.14"
04/02/2024,"39,256.27","39,256.27","39,051.70","39,170.24"
04/01/2024,"39,807.93","39,815.00","39,491.22","39,566.85"
03/28/2024,"39,763.74","39,868.59","39,717.25","39,807.37"
03/27/2024,"39,461.98","39,769.41","39,461.98","39,760.08"
03/26/2024,"39,338.32","39,439.44","39,277.19","39,282.33"
03/25/2024,"39,410.54","39,430.17","39,296.03","39,313.64"
03/22/2024,"39,774.06","39,824.76","39,469.53","39,475.90"
03/21/2024,"39,661.03","39,889.05","39,589.23","39,781.37"
03/20/2024,"39,072.05","39,529.13","38,988.65","39,512.13"
03/19/2024,"38,819.61","39,122.71","38,761.28","39,110.76"
03/18/2024,"38,826.93","38,898.41","38,760.79","38,790.43"
03/15/2024,"38,809.65","38,928.13","38,618.20","38,714.77"
03/14/2024,"39,122.39","39,160.25","38,704.36","38,905.66"
03/13/2024,"39,054.58","39,201.94","38,937.92","39,043.32"
03/12/2024,"38,883.32","39,071.56","38,711.39","39,005.49"
03/11/2024,"38,667.21","38,794.76","38,483.25","38,769.66"
03/08/2024,"38,776.80","38,971.15","38,705.03","38,722.69"
03/07/2024,"38,784.30","38,910.35","38,730.13","38,791.35"
03/06/2024,"38,721.15","38,858.13","38,570.80","38,661.05"
03/05/2024,"38,906.98","38,906.98","38,457.83","38,585.19"
03/04/2024,"38,968.77","39,087.86","38,913.30","38,989.83"
03/01/2024,"38,989.51","39,120.36","38,850.50","39,087.38"
02/29/2024,"39,013.75","39,074.13","38,809.28","38,996.39"
02/28/2024,"38,938.08","38,956.46","38,741.68","38,949.02"
02/27/2024,"39,087.90","39,087.90","38,881.90","38,972.41"
02/26/2024,"39,144.79","39,245.89","39,025.80","39,069.23"
02/23/2024,"39,127.97","39,282.28","39,094.36","39,131.53"
02/22/2024,"38,845.19","39,149.61","38,802.07","39,069.11"
02/21/2024,"38,483.66","38,618.03","38,338.58","38,612.24"
02/20/2024,"38,576.26","38,663.09","38,460.20","38,563.80"
02/16/2024,"38,751.71","38,825.03","38,583.24","38,627.99"
02/15/2024,"38,397.94","38,781.89","38,397.94","38,773.12"
02/14/2024,"38,372.67","38,442.56","38,194.62","38,424.27"
02/13/2024,"38,699.17","38,699.17","38,039.86","38,272.75"
02/12/2024,"38,656.76","38,927.08","38,628.92","38,797.38"
02/09/2024,"38,731.97","38,734.28","38,567.90","38,671.69"
02/08/2024,"38,702.11","38,755.68","38,544.36","38,726.33"
02/07/2024,"38,613.89","38,748.11","38,571.01","38,677.36"
02/06/2024,"38,392.90","38,545.28","38,350.46","38,521.36"
02/05/2024,"38,546.77","38,633.88","38,220.40","38,380.12"
02/02/2024,"38,448.10","38,783.62","38,336.57","38,654.42"
02/01/2024,"38,175.34","38,522.50","38,106.84","38,519.84"
01/31/2024,"38,426.78","38,588.86","38,139.66","38,150.30"
01/30/2024,"38,298.23","38,497.39","38,257.80","38,467.31"
01/29/2024,"38,115.83","38,343.93","38,061.17","38,333.45"
01/26/2024,"38,006.68","38,215.31","37,997.77","38,109.43"
01/25/2024,"37,862.57","38,057.53","37,796.47","38,049.13"
01/24/2024,"37,975.37","38,064.22","37,795.71","37,806.39"
01/23/2024,"37,959.79","37,980.73","37,804.99","37,905.45"
01/22/2024,"37,919.55","38,109.20","37,911.61","38,001.81"
01/19/2024,"37,572.50","37,933.73","37,451.71","37,863.80"
01/18/2024,"37,300.81","37,522.29","37,122.95","37,468.61"
01/17/2024,"37,281.86","37,371.66","37,132.89","37,266.67"
01/16/2024,"37,493.54","37,543.18","37,201.39","37,361.12"
01/12/2024,"37,818.05","37,825.27","37,470.19","37,592.98"
01/11/2024,"37,747.14","37,801.90","37,424.28","37,711.02"
01/10/2024,"37,552.91","37,740.77","37,524.40","37,695.73"
01/09/2024,"37,523.55","37,552.38","37,373.30","37,525.16"
01/08/2024,"37,327.37","37,692.92","37,249.24","37,683.01"
01/05/2024,"37,455.46","37,623.62","37,323.82","37,466.11"
01/04/2024,"37,425.28","37,716.41","37,425.28","37,440.34"
01/03/2024,"37,629.23","37,629.23","37,401.85","37,430.19"
01/02/2024,"37,566.22","37,790.08","37,495.91","37,715.04"
12/29/2023,"37,701.63","37,759.43","37,538.80","37,689.54"
12/28/2023,"37,661.52","37,778.85","37,650.98","37,710.10"
12/27/2023,"37,518.62","37,683.70","37,488.60","37,656.52"
12/26/2023,"37,405.90","37,617.99","37,371.83","37,545.33"
12/22/2023,"37,349.27","37,534.52","37,268.88","37,385.97"
12/21/2023,"37,225.32","37,418.76","37,127.05","37,404.35"
12/20/2023,"37,520.13","37,641.30","37,073.04","37,082.00"
12/19/2023,"37,311.82","37,562.83","37,311.82","37,557.92"
12/18/2023,"37,330.14","37,393.45","37,284.85","37,306.02"
12/15/2023,"37,194.50","37,347.60","37,092.02","37,305.16"
12/14/2023,"37,115.63","37,287.50","37,051.52","37,248.35"
12/13/2023,"36,601.80","37,094.85","36,523.59","37,090.24"
12/12/2023,"36,442.10","36,596.11","36,373.22","36,577.94"
12/11/2023,"36,254.33","36,416.18","36,231.19","36,404.93"
12/08/2023,"36,084.82","36,296.20","36,061.64","36,247.87"
12/07/2023,"36,124.17","36,164.17","36,021.95","36,117.38"
12/06/2023,"36,183.73","36,292.58","36,024.25","36,054.43"
12/05/2023,"36,135.65","36,164.68","36,010.85","36,124.56"
